fecha,localidad,pais,numero_victimas,numero_heridos,descripcion,latitude,longitude
1960-06-28,San Sebastián,España,1,6,"La primera víctima mortal fue Begoña Urroz, quien tenía apenas 22 meses cuando una bomba incendiaria colocada en la estación de Amara, San Sebastián. Explotaron en total cinco artefactos, también en otras estaciones de tren españolas. Resultaron heridos Carlos Íñigo Acevedo (Estación del Norte), Valeriano Bakaikoa Azurmendi (15 años), Soledad Arruti (60 años), Pascual Ibáñez Martín (29 años), Francisco Sánchez Bravo (42 años) y María García Moras (49 años).",43.320812,-1.984447
1961-07-18,San Sebastián,España,0,0,Intento fallido de descarrilamiento de un tren ocupado por voluntarios franquistas que se dirigían a San Sebastián para celebrar el Alzamiento.,43.320812,-1.984447
1968-06-07,Villabona,España,1,0,"Primer atentado no planificado de ETA. El guardia civil José Antonio Pardines, de 25 años, fue tiroteado hasta la muerte por los terroristas Txabi Echebarrieta e Iñaki Sarasketa tras solicitarles la documentación. Ocurrió en la localidad guipuzcoana de Villabona. La persecución de los agresores tiene como resultado la muerte de uno de ellos, Francisco Javier Echevarrieta, de 24 años y miembro de ETA.",43.189944,-2.052454
1968-08-02,Irun,España,1,0,"Considerado el primer atentado planificado de ETA. Al llegar a la puerta de casa, el agresor le disparó por la espalda a Melitón Manzanas, Inspector Jefe de la policía municipal y jefe de la Brigada Social, quitándole la vida.",43.338233,-1.789272
1969-04-09,Arrigorriaga,España,1,0,"Un miembro de ETA que huía de la policía dispara cuatro tiros al taxista Fermín Monasterio Pérez, de 38 años, cuando éste se negó a llevarle donde quería. Posteriormente sacó el cuerpo del taxi, lo dejó en el suelo y se dio a la fuga.",43.20752,-2.887839
1972-08-29,Galdácano,España,1,1,"Dos policías municipales retuvieron en Galdácano un taxi que transportaba a cuatro sospechosos. Al no disponer éstos de la documentación, los municipales se llevaron a los sospechosos al cuartelillo de la guardia municipal del pueblo, acompañados por una pareja de la Guardia Civil. A la llegada al cuartelillo, uno de los sospechosos inició un forcejeo que se tradujo en la muerte del policía municipal Eloy García Cambra de 44 años e hirió a Herminio Nobreda. Los sospechosos consiguieron huir.",43.230556,-2.845833
1973-03-24,San Juan de Luz,Francia,3,0,"José Humberto Fouz Escobedo (28 años - Empleado en una empresa de transportes), Fernando Quiroga Veiga (25 años - Empleado en una agencia de aduanas) y Jorge Juan García Carneiro (23 años - Parado), tres jóvenes de origen gallego y residentes en Irun cruzaron la frontera para ver una película entonces prohibida en España. Fueron confundidos con policías y asesinados. Nunca se supo nada de sus restos.",43.3903,-1.66667
1973-12-20,Madrid,España,3,4,"Explosión de una bomba subterránea al paso del coche en el que iba el entonces Presidente del Gobierno de Franco, el almirante Luis Carrero Blanco. Fallecieron tanto él como los otros dos ocupantes del coche: José Luis Pérez Mogena (chófer del presidente) y José Antonio Bueno Fernández (escolta). Resultaron heridos Rafael Galiana del Río (policía), Carlos del Pozo (taxista), un niño de 10 o 12 años y la dependienta de una tienda cercana. ",40.434278,-3.6855
1974-04-03,Azpeitia,España,1,0,"Dos miembros de ETA se pusieron delante y acribillaron a tiros un vehículo ocupado por el cabo primero de la Guardia Civil Gregorio Posada Zurrón, a quien quitaron la vida. ETA reivindica el atentado y declara que, a partir de entonces, incluía a todos los agentes policiales como objetivo militar. ",43.1839,-2.265466
1974-05-31,Beasain,España,0,0,"Cuatro miembros de ETA armados con subfusiles atracaron la Compañía Auxiliar de Ferrocarriles en Beasain, llevándose las nóminas de unos cien obreros,  unos catorce millones de pesetas. Unas doce horas después del atraco, cometido con la complicidad de un trabajador de la compañía, la guardia civil localizó un vehículo sospechoso cuyos integrantes se refugiaron en un edificio en ruinas.  Tras un tiroteo, los agentes recuperaron casi todo el dinero y arrestaron a uno de los asaltantes.",43.047076,-2.204605
1974-06-02,Ataun,España,1,0,"Una patrulla de la Guardia Civil que circulaba por el barrio de Ergoyena, en Ataun, dio el alto a dos hombres y una mujer para identificarlos. Uno de los hombres disparó contra el guardia civil Manuel Pérez, hiriéndole de muerte y dándose a la fuga.",43,-2.166667
1974-09-11,Bilbao,España,1,3,"Agentes de la Guardia Civil se encontraban en un piso que parecía que estaba siendo utilizado por ETA. En ese momento, y tras detener a María Dolores González Catarain 'Yoyes', llegaron otros dos miembros de ETA, de los que apresaron uno y el otro (Juan José Urcelay Imaz) se dio a la fuga por las escaleras. Le persiguió el guardia civil Martín Durán, quien resultó herido de muerte por dos disparos. El perseguido efectuó más disparos en la calle, hiriendo a una persona viandante, Andrea Villamore,  por disparo en el glúteo. La persecución del fugitivo continuó y, horas más tarde, se produjo otro tiroteo en el que murió el etarra Juan José Urcelay y resultaron heridos otro activista y dos guardias civiles.",43.256963,-2.923441
