areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-08-03,00_04,498,2998,92.5
E92000001,England,nation,2021-08-03,00_59,24192,148818,347.0
E92000001,England,nation,2021-08-03,05_09,901,5430,153.4
E92000001,England,nation,2021-08-03,10_14,1450,10318,300.3
E92000001,England,nation,2021-08-03,15_19,3247,22019,706.7
E92000001,England,nation,2021-08-03,20_24,4509,26937,775.7
E92000001,England,nation,2021-08-03,25_29,3564,20409,541.1
E92000001,England,nation,2021-08-03,30_34,2775,16364,427.9
E92000001,England,nation,2021-08-03,35_39,1931,11840,316.7
E92000001,England,nation,2021-08-03,40_44,1602,10191,293.2
E92000001,England,nation,2021-08-03,45_49,1344,8501,233.6
E92000001,England,nation,2021-08-03,50_54,1380,7820,201.8
E92000001,England,nation,2021-08-03,55_59,991,5991,159.3
E92000001,England,nation,2021-08-03,60+,2050,11678,85.5
E92000001,England,nation,2021-08-03,60_64,704,3983,124.6
E92000001,England,nation,2021-08-03,65_69,449,2510,90.1
E92000001,England,nation,2021-08-03,70_74,366,2039,72.5
E92000001,England,nation,2021-08-03,75_79,218,1267,63.0
E92000001,England,nation,2021-08-03,80_84,156,892,61.6
E92000001,England,nation,2021-08-03,85_89,88,568,64.2
E92000001,England,nation,2021-08-03,90+,69,419,80.4
E92000001,England,nation,2021-08-03,unassigned,14,64,
E92000001,England,nation,2021-08-02,00_04,501,3007,92.8
E92000001,England,nation,2021-08-02,00_59,23843,148131,345.4
E92000001,England,nation,2021-08-02,05_09,900,5426,153.3
E92000001,England,nation,2021-08-02,10_14,1573,10816,314.8
E92000001,England,nation,2021-08-02,15_19,3239,22291,715.4
E92000001,England,nation,2021-08-02,20_24,4133,26701,768.9
E92000001,England,nation,2021-08-02,25_29,3286,19976,529.7
E92000001,England,nation,2021-08-02,30_34,2560,16058,419.9
E92000001,England,nation,2021-08-02,35_39,1926,11863,317.3
E92000001,England,nation,2021-08-02,40_44,1717,10097,290.5
E92000001,England,nation,2021-08-02,45_49,1542,8421,231.4
E92000001,England,nation,2021-08-02,50_54,1376,7601,196.1
E92000001,England,nation,2021-08-02,55_59,1090,5874,156.1
E92000001,England,nation,2021-08-02,60+,1969,11424,83.6
E92000001,England,nation,2021-08-02,60_64,652,3871,121.1
E92000001,England,nation,2021-08-02,65_69,435,2494,89.6
E92000001,England,nation,2021-08-02,70_74,338,1983,70.5
E92000001,England,nation,2021-08-02,75_79,222,1234,61.4
E92000001,England,nation,2021-08-02,80_84,145,869,60.0
E92000001,England,nation,2021-08-02,85_89,102,574,64.8
E92000001,England,nation,2021-08-02,90+,75,399,76.6
E92000001,England,nation,2021-08-02,unassigned,12,70,
E92000001,England,nation,2021-08-01,00_04,372,3093,95.5
E92000001,England,nation,2021-08-01,00_59,16754,147977,345.0
E92000001,England,nation,2021-08-01,05_09,644,5660,159.9
E92000001,England,nation,2021-08-01,10_14,1303,11492,334.5
E92000001,England,nation,2021-08-01,15_19,2514,22384,718.4
E92000001,England,nation,2021-08-01,20_24,2710,26271,756.5
E92000001,England,nation,2021-08-01,25_29,2096,19549,518.3
E92000001,England,nation,2021-08-01,30_34,1833,15991,418.1
E92000001,England,nation,2021-08-01,35_39,1347,11939,319.4
E92000001,England,nation,2021-08-01,40_44,1241,10040,288.8
E92000001,England,nation,2021-08-01,45_49,1030,8291,227.9
E92000001,England,nation,2021-08-01,50_54,975,7460,192.5
E92000001,England,nation,2021-08-01,55_59,689,5807,154.4
E92000001,England,nation,2021-08-01,60+,1361,11531,84.4
E92000001,England,nation,2021-08-01,60_64,480,3898,121.9
E92000001,England,nation,2021-08-01,65_69,302,2525,90.7
E92000001,England,nation,2021-08-01,70_74,241,1979,70.3
E92000001,England,nation,2021-08-01,75_79,129,1266,63.0
E92000001,England,nation,2021-08-01,80_84,102,885,61.1
E92000001,England,nation,2021-08-01,85_89,58,580,65.5
E92000001,England,nation,2021-08-01,90+,49,398,76.4
E92000001,England,nation,2021-08-01,unassigned,6,80,
E92000001,England,nation,2021-07-31,00_04,335,3128,96.6
E92000001,England,nation,2021-07-31,00_59,16527,148914,347.2
E92000001,England,nation,2021-07-31,05_09,670,6028,170.3
E92000001,England,nation,2021-07-31,10_14,1330,12276,357.3
E92000001,England,nation,2021-07-31,15_19,2548,22437,720.1
E92000001,England,nation,2021-07-31,20_24,2698,25989,748.4
E92000001,England,nation,2021-07-31,25_29,2064,19385,514.0
E92000001,England,nation,2021-07-31,30_34,1779,15952,417.1
E92000001,England,nation,2021-07-31,35_39,1303,11991,320.8
E92000001,England,nation,2021-07-31,40_44,1158,10023,288.3
E92000001,England,nation,2021-07-31,45_49,986,8344,229.3
E92000001,England,nation,2021-07-31,50_54,926,7484,193.1
E92000001,England,nation,2021-07-31,55_59,730,5877,156.2
E92000001,England,nation,2021-07-31,60+,1412,11653,85.3
E92000001,England,nation,2021-07-31,60_64,468,3952,123.6
E92000001,England,nation,2021-07-31,65_69,295,2570,92.3
E92000001,England,nation,2021-07-31,70_74,248,1961,69.7
E92000001,England,nation,2021-07-31,75_79,140,1300,64.7
E92000001,England,nation,2021-07-31,80_84,126,895,61.8
E92000001,England,nation,2021-07-31,85_89,85,591,66.8
E92000001,England,nation,2021-07-31,90+,50,384,73.7
E92000001,England,nation,2021-07-31,unassigned,2,83,
E92000001,England,nation,2021-07-30,00_04,412,3257,100.5
E92000001,England,nation,2021-07-30,00_59,19881,150640,351.2
E92000001,England,nation,2021-07-30,05_09,714,6417,181.3
E92000001,England,nation,2021-07-30,10_14,1395,13044,379.7
