areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-06-09,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,00_59,1.0,9.0,0.0
E92000001,England,nation,2021-06-09,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-06-09,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,25_29,0.0,1.0,0.0
E92000001,England,nation,2021-06-09,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,35_39,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,40_44,0.0,0.0,0.0
E92000001,England,nation,2021-06-09,45_49,1.0,2.0,0.1
E92000001,England,nation,2021-06-09,50_54,0.0,1.0,0.0
E92000001,England,nation,2021-06-09,55_59,0.0,4.0,0.1
E92000001,England,nation,2021-06-09,60+,5.0,33.0,0.2
E92000001,England,nation,2021-06-09,60_64,1.0,2.0,0.1
E92000001,England,nation,2021-06-09,65_69,0.0,2.0,0.1
E92000001,England,nation,2021-06-09,70_74,0.0,2.0,0.1
E92000001,England,nation,2021-06-09,75_79,0.0,4.0,0.2
E92000001,England,nation,2021-06-09,80_84,3.0,7.0,0.5
E92000001,England,nation,2021-06-09,85_89,0.0,5.0,0.6
E92000001,England,nation,2021-06-09,90+,1.0,11.0,2.1
E92000001,England,nation,2021-06-08,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,00_59,3.0,10.0,0.0
E92000001,England,nation,2021-06-08,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-06-08,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,25_29,1.0,2.0,0.1
E92000001,England,nation,2021-06-08,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,35_39,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,40_44,0.0,0.0,0.0
E92000001,England,nation,2021-06-08,45_49,0.0,1.0,0.0
E92000001,England,nation,2021-06-08,50_54,1.0,1.0,0.0
E92000001,England,nation,2021-06-08,55_59,1.0,5.0,0.1
E92000001,England,nation,2021-06-08,60+,3.0,35.0,0.3
E92000001,England,nation,2021-06-08,60_64,0.0,2.0,0.1
E92000001,England,nation,2021-06-08,65_69,0.0,3.0,0.1
E92000001,England,nation,2021-06-08,70_74,0.0,3.0,0.1
E92000001,England,nation,2021-06-08,75_79,0.0,4.0,0.2
E92000001,England,nation,2021-06-08,80_84,1.0,5.0,0.3
E92000001,England,nation,2021-06-08,85_89,1.0,7.0,0.8
E92000001,England,nation,2021-06-08,90+,1.0,11.0,2.1
E92000001,England,nation,2021-06-07,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,00_59,1.0,8.0,0.0
E92000001,England,nation,2021-06-07,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-06-07,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,25_29,0.0,1.0,0.0
E92000001,England,nation,2021-06-07,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,35_39,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,40_44,0.0,1.0,0.0
E92000001,England,nation,2021-06-07,45_49,0.0,1.0,0.0
E92000001,England,nation,2021-06-07,50_54,0.0,0.0,0.0
E92000001,England,nation,2021-06-07,55_59,1.0,4.0,0.1
E92000001,England,nation,2021-06-07,60+,3.0,34.0,0.3
E92000001,England,nation,2021-06-07,60_64,0.0,3.0,0.1
E92000001,England,nation,2021-06-07,65_69,0.0,3.0,0.1
E92000001,England,nation,2021-06-07,70_74,0.0,3.0,0.1
E92000001,England,nation,2021-06-07,75_79,1.0,5.0,0.3
E92000001,England,nation,2021-06-07,80_84,1.0,4.0,0.3
E92000001,England,nation,2021-06-07,85_89,1.0,6.0,0.7
E92000001,England,nation,2021-06-07,90+,0.0,10.0,1.9
E92000001,England,nation,2021-06-06,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-06-06,00_59,2.0,8.0,0.0
E92000001,England,nation,2021-06-06,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-06-06,10_14,1.0,1.0,0.0
E92000001,England,nation,2021-06-06,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-06-06,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-06-06,25_29,0.0,1.0,0.0
