areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-08-04,18_to_64,469.1,159087
E92000001,England,nation,2021-08-04,6_to_17,45.9,3686
E92000001,England,nation,2021-08-04,0_to_5,94.2,3759
E92000001,England,nation,2021-08-04,85+,6132.0,85667
E92000001,England,nation,2021-08-04,65_to_84,1901.1,170271
E92000001,England,nation,2021-08-03,18_to_64,467.9,158668
E92000001,England,nation,2021-08-03,6_to_17,45.6,3664
E92000001,England,nation,2021-08-03,0_to_5,93.6,3735
E92000001,England,nation,2021-08-03,85+,6126.3,85588
E92000001,England,nation,2021-08-03,65_to_84,1898.8,170070
E92000001,England,nation,2021-08-02,18_to_64,466.8,158274
E92000001,England,nation,2021-08-02,6_to_17,45.4,3650
E92000001,England,nation,2021-08-02,0_to_5,93.0,3713
E92000001,England,nation,2021-08-02,85+,6121.8,85524
E92000001,England,nation,2021-08-02,65_to_84,1896.7,169884
E92000001,England,nation,2021-08-01,18_to_64,465.5,157865
E92000001,England,nation,2021-08-01,6_to_17,45.3,3635
E92000001,England,nation,2021-08-01,0_to_5,92.6,3696
E92000001,England,nation,2021-08-01,85+,6117.7,85468
E92000001,England,nation,2021-08-01,65_to_84,1894.6,169695
E92000001,England,nation,2021-07-31,18_to_64,464.5,157498
E92000001,England,nation,2021-07-31,6_to_17,45.0,3613
E92000001,England,nation,2021-07-31,0_to_5,91.9,3669
E92000001,England,nation,2021-07-31,85+,6113.7,85411
E92000001,England,nation,2021-07-31,65_to_84,1892.7,169526
E92000001,England,nation,2021-07-30,18_to_64,463.5,157157
E92000001,England,nation,2021-07-30,6_to_17,44.8,3597
E92000001,England,nation,2021-07-30,0_to_5,91.4,3649
E92000001,England,nation,2021-07-30,85+,6109.3,85350
E92000001,England,nation,2021-07-30,65_to_84,1891.0,169371
E92000001,England,nation,2021-07-29,18_to_64,462.3,156754
E92000001,England,nation,2021-07-29,6_to_17,44.6,3581
E92000001,England,nation,2021-07-29,0_to_5,91.0,3632
E92000001,England,nation,2021-07-29,85+,6105.9,85302
E92000001,England,nation,2021-07-29,65_to_84,1889.2,169206
E92000001,England,nation,2021-07-28,18_to_64,460.9,156291
E92000001,England,nation,2021-07-28,6_to_17,44.3,3557
E92000001,England,nation,2021-07-28,0_to_5,90.5,3610
E92000001,England,nation,2021-07-28,85+,6101.5,85241
E92000001,England,nation,2021-07-28,65_to_84,1887.1,169018
E92000001,England,nation,2021-07-27,18_to_64,459.5,155831
E92000001,England,nation,2021-07-27,6_to_17,44.0,3538
E92000001,England,nation,2021-07-27,0_to_5,90.1,3595
E92000001,England,nation,2021-07-27,85+,6098.0,85192
E92000001,England,nation,2021-07-27,65_to_84,1885.0,168834
E92000001,England,nation,2021-07-26,18_to_64,458.0,155318
E92000001,England,nation,2021-07-26,6_to_17,43.8,3520
E92000001,England,nation,2021-07-26,0_to_5,89.4,3566
E92000001,England,nation,2021-07-26,85+,6093.4,85128
E92000001,England,nation,2021-07-26,65_to_84,1882.9,168642
E92000001,England,nation,2021-07-25,18_to_64,456.6,154828
E92000001,England,nation,2021-07-25,6_to_17,43.5,3491
E92000001,England,nation,2021-07-25,0_to_5,88.7,3538
E92000001,England,nation,2021-07-25,85+,6087.4,85044
E92000001,England,nation,2021-07-25,65_to_84,1880.7,168451
E92000001,England,nation,2021-07-24,18_to_64,455.1,154313
E92000001,England,nation,2021-07-24,6_to_17,43.1,3465
E92000001,England,nation,2021-07-24,0_to_5,87.8,3505
E92000001,England,nation,2021-07-24,85+,6082.5,84976
E92000001,England,nation,2021-07-24,65_to_84,1878.6,168257
E92000001,England,nation,2021-07-23,18_to_64,453.7,153850
E92000001,England,nation,2021-07-23,6_to_17,42.8,3438
E92000001,England,nation,2021-07-23,0_to_5,87.4,3487
E92000001,England,nation,2021-07-23,85+,6078.2,84915
E92000001,England,nation,2021-07-23,65_to_84,1876.7,168092
E92000001,England,nation,2021-07-22,18_to_64,452.4,153391
E92000001,England,nation,2021-07-22,6_to_17,42.5,3410
E92000001,England,nation,2021-07-22,0_to_5,87.0,3472
E92000001,England,nation,2021-07-22,85+,6072.6,84838
E92000001,England,nation,2021-07-22,65_to_84,1875.1,167946
E92000001,England,nation,2021-07-21,18_to_64,450.8,152864
E92000001,England,nation,2021-07-21,6_to_17,42.0,3376
E92000001,England,nation,2021-07-21,0_to_5,86.4,3449
E92000001,England,nation,2021-07-21,85+,6068.6,84781
E92000001,England,nation,2021-07-21,65_to_84,1873.0,167762
E92000001,England,nation,2021-07-20,18_to_64,449.4,152405
E92000001,England,nation,2021-07-20,6_to_17,41.7,3348
E92000001,England,nation,2021-07-20,0_to_5,85.8,3424
E92000001,England,nation,2021-07-20,85+,6062.8,84700
E92000001,England,nation,2021-07-20,65_to_84,1870.9,167572
E92000001,England,nation,2021-07-19,18_to_64,448.0,151901
E92000001,England,nation,2021-07-19,6_to_17,41.3,3317
E92000001,England,nation,2021-07-19,0_to_5,85.2,3399
E92000001,England,nation,2021-07-19,85+,6058.9,84646
E92000001,England,nation,2021-07-19,65_to_84,1868.8,167381
E92000001,England,nation,2021-07-18,18_to_64,446.6,151445
E92000001,England,nation,2021-07-18,6_to_17,41.0,3294
E92000001,England,nation,2021-07-18,0_to_5,84.4,3370
E92000001,England,nation,2021-07-18,85+,6055.4,84597
E92000001,England,nation,2021-07-18,65_to_84,1866.6,167186
E92000001,England,nation,2021-07-17,18_to_64,445.3,151003
E92000001,England,nation,2021-07-17,6_to_17,40.8,3280
E92000001,England,nation,2021-07-17,0_to_5,83.9,3347
E92000001,England,nation,2021-07-17,85+,6050.2,84524
E92000001,England,nation,2021-07-17,65_to_84,1865.0,167040
E92000001,England,nation,2021-07-16,18_to_64,444.2,150620
E92000001,England,nation,2021-07-16,6_to_17,40.6,3263
E92000001,England,nation,2021-07-16,0_to_5,83.4,3327
E92000001,England,nation,2021-07-16,85+,6045.8,84463
E92000001,England,nation,2021-07-16,65_to_84,1863.4,166900
E92000001,England,nation,2021-07-15,18_to_64,443.0,150229
E92000001,England,nation,2021-07-15,6_to_17,40.4,3245
E92000001,England,nation,2021-07-15,0_to_5,82.9,3309
E92000001,England,nation,2021-07-15,85+,6042.5,84417
E92000001,England,nation,2021-07-15,65_to_84,1862.1,166781
E92000001,England,nation,2021-07-14,18_to_64,441.8,149796
E92000001,England,nation,2021-07-14,6_to_17,40.1,3225
E92000001,England,nation,2021-07-14,0_to_5,82.5,3292
E92000001,England,nation,2021-07-14,85+,6039.1,84370
E92000001,England,nation,2021-07-14,65_to_84,1860.5,166640
E92000001,England,nation,2021-07-13,18_to_64,440.5,149385
E92000001,England,nation,2021-07-13,6_to_17,39.9,3207
E92000001,England,nation,2021-07-13,0_to_5,82.0,3274
E92000001,England,nation,2021-07-13,85+,6035.7,84322
E92000001,England,nation,2021-07-13,65_to_84,1858.9,166499
E92000001,England,nation,2021-07-12,18_to_64,439.4,148984
E92000001,England,nation,2021-07-12,6_to_17,39.7,3186
E92000001,England,nation,2021-07-12,0_to_5,81.5,3253
E92000001,England,nation,2021-07-12,85+,6032.8,84281
E92000001,England,nation,2021-07-12,65_to_84,1857.4,166362
E92000001,England,nation,2021-07-11,18_to_64,438.3,148619
E92000001,England,nation,2021-07-11,6_to_17,39.3,3159
E92000001,England,nation,2021-07-11,0_to_5,80.8,3226
E92000001,England,nation,2021-07-11,85+,6028.8,84226
E92000001,England,nation,2021-07-11,65_to_84,1855.9,166226
E92000001,England,nation,2021-07-10,18_to_64,437.4,148311
E92000001,England,nation,2021-07-10,6_to_17,39.2,3146
E92000001,England,nation,2021-07-10,0_to_5,80.3,3204
E92000001,England,nation,2021-07-10,85+,6024.8,84170
E92000001,England,nation,2021-07-10,65_to_84,1854.7,166123
E92000001,England,nation,2021-07-09,18_to_64,436.5,148016
E92000001,England,nation,2021-07-09,6_to_17,39.0,3133
E92000001,England,nation,2021-07-09,0_to_5,80.1,3197
E92000001,England,nation,2021-07-09,85+,6022.5,84138
E92000001,England,nation,2021-07-09,65_to_84,1853.7,166028
E92000001,England,nation,2021-07-08,18_to_64,435.7,147730
E92000001,England,nation,2021-07-08,6_to_17,38.9,3122
E92000001,England,nation,2021-07-08,0_to_5,79.7,3179
E92000001,England,nation,2021-07-08,85+,6019.5,84096
E92000001,England,nation,2021-07-08,65_to_84,1852.6,165934
E92000001,England,nation,2021-07-07,18_to_64,434.7,147417
E92000001,England,nation,2021-07-07,6_to_17,38.7,3111
E92000001,England,nation,2021-07-07,0_to_5,79.5,3172
E92000001,England,nation,2021-07-07,85+,6016.5,84054
E92000001,England,nation,2021-07-07,65_to_84,1851.3,165819
E92000001,England,nation,2021-07-06,18_to_64,433.8,147112
E92000001,England,nation,2021-07-06,6_to_17,38.6,3102
E92000001,England,nation,2021-07-06,0_to_5,79.3,3164
E92000001,England,nation,2021-07-06,85+,6013.8,84016
E92000001,England,nation,2021-07-06,65_to_84,1850.2,165718
E92000001,England,nation,2021-07-05,18_to_64,433.0,146825
E92000001,England,nation,2021-07-05,6_to_17,38.5,3090
E92000001,England,nation,2021-07-05,0_to_5,79.0,3152
E92000001,England,nation,2021-07-05,85+,6011.0,83977
E92000001,England,nation,2021-07-05,65_to_84,1849.0,165610
E92000001,England,nation,2021-07-04,18_to_64,432.2,146564
E92000001,England,nation,2021-07-04,6_to_17,38.4,3081
E92000001,England,nation,2021-07-04,0_to_5,78.6,3137
E92000001,England,nation,2021-07-04,85+,6008.0,83935
E92000001,England,nation,2021-07-04,65_to_84,1848.0,165521
E92000001,England,nation,2021-07-03,18_to_64,431.5,146316
E92000001,England,nation,2021-07-03,6_to_17,38.2,3066
E92000001,England,nation,2021-07-03,0_to_5,78.2,3122
E92000001,England,nation,2021-07-03,85+,6005.7,83903
E92000001,England,nation,2021-07-03,65_to_84,1847.1,165441
E92000001,England,nation,2021-07-02,18_to_64,430.9,146113
E92000001,England,nation,2021-07-02,6_to_17,38.0,3054
E92000001,England,nation,2021-07-02,0_to_5,78.1,3115
E92000001,England,nation,2021-07-02,85+,6003.9,83878
E92000001,England,nation,2021-07-02,65_to_84,1846.4,165373
E92000001,England,nation,2021-07-01,18_to_64,430.4,145931
E92000001,England,nation,2021-07-01,6_to_17,37.8,3039
E92000001,England,nation,2021-07-01,0_to_5,77.9,3109
E92000001,England,nation,2021-07-01,85+,6001.6,83846
E92000001,England,nation,2021-07-01,65_to_84,1845.7,165309
E92000001,England,nation,2021-06-30,18_to_64,429.8,145759
E92000001,England,nation,2021-06-30,6_to_17,37.7,3031
E92000001,England,nation,2021-06-30,0_to_5,77.6,3098
E92000001,England,nation,2021-06-30,85+,5999.5,83816
E92000001,England,nation,2021-06-30,65_to_84,1844.9,165240
E92000001,England,nation,2021-06-29,18_to_64,429.2,145550
E92000001,England,nation,2021-06-29,6_to_17,37.6,3023
E92000001,England,nation,2021-06-29,0_to_5,77.3,3083
E92000001,England,nation,2021-06-29,85+,5997.7,83791
E92000001,England,nation,2021-06-29,65_to_84,1844.1,165168
E92000001,England,nation,2021-06-28,18_to_64,428.7,145384
E92000001,England,nation,2021-06-28,6_to_17,37.5,3013
E92000001,England,nation,2021-06-28,0_to_5,76.8,3066
E92000001,England,nation,2021-06-28,85+,5996.3,83772
E92000001,England,nation,2021-06-28,65_to_84,1843.3,165100
E92000001,England,nation,2021-06-27,18_to_64,428.2,145218
E92000001,England,nation,2021-06-27,6_to_17,37.4,3008
E92000001,England,nation,2021-06-27,0_to_5,76.7,3062
E92000001,England,nation,2021-06-27,85+,5994.9,83752
E92000001,England,nation,2021-06-27,65_to_84,1842.8,165053
E92000001,England,nation,2021-06-26,18_to_64,427.8,145063
E92000001,England,nation,2021-06-26,6_to_17,37.4,3005
E92000001,England,nation,2021-06-26,0_to_5,76.6,3057
E92000001,England,nation,2021-06-26,85+,5993.8,83736
E92000001,England,nation,2021-06-26,65_to_84,1842.3,165006
E92000001,England,nation,2021-06-25,18_to_64,427.4,144927
E92000001,England,nation,2021-06-25,6_to_17,37.2,2992
