areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E92000001,England,nation,2021-07-09,18_24,5229280.0,827078.0,5502.0,2873791.0,34891.0,827078.0,5502.0,55.0,15.8,15.8
E92000001,England,nation,2021-07-09,25_29,4437652.0,877020.0,8039.0,2528586.0,14355.0,877020.0,8039.0,57.0,19.8,19.8
E92000001,England,nation,2021-07-09,30_34,4744796.0,1148535.0,13269.0,2922720.0,8355.0,1148535.0,13269.0,61.6,24.2,24.2
E92000001,England,nation,2021-07-09,35_39,4552381.0,1423616.0,27627.0,3050447.0,5747.0,1423616.0,27627.0,67.0,31.3,31.3
E92000001,England,nation,2021-07-09,40_44,4121288.0,2115973.0,39106.0,3064793.0,2932.0,2115973.0,39106.0,74.4,51.3,51.3
E92000001,England,nation,2021-07-09,45_49,3996824.0,2640694.0,34431.0,3220068.0,1918.0,2640694.0,34431.0,80.6,66.1,66.1
E92000001,England,nation,2021-07-09,50_54,4224084.0,3417755.0,3699.0,3617045.0,1060.0,3417755.0,3699.0,85.6,80.9,80.9
E92000001,England,nation,2021-07-09,55_59,4075817.0,3433306.0,2295.0,3596705.0,712.0,3433306.0,2295.0,88.2,84.2,84.2
E92000001,England,nation,2021-07-09,60_64,3449874.0,3002066.0,1257.0,3112075.0,439.0,3002066.0,1257.0,90.2,87.0,87.0
E92000001,England,nation,2021-07-09,65_69,2890250.0,2607490.0,613.0,2664567.0,223.0,2607490.0,613.0,92.2,90.2,90.2
E92000001,England,nation,2021-07-09,70_74,2872277.0,2671724.0,301.0,2711871.0,135.0,2671724.0,301.0,94.4,93.0,93.0
E92000001,England,nation,2021-07-09,75_79,2078271.0,1955695.0,187.0,1983179.0,91.0,1955695.0,187.0,95.4,94.1,94.1
E92000001,England,nation,2021-07-09,80_84,1438100.0,1346681.0,114.0,1373662.0,45.0,1346681.0,114.0,95.5,93.6,93.6
E92000001,England,nation,2021-07-09,85_89,869600.0,811819.0,72.0,830705.0,15.0,811819.0,72.0,95.5,93.4,93.4
E92000001,England,nation,2021-07-09,90+,487806.0,446105.0,36.0,458381.0,14.0,446105.0,36.0,94.0,91.5,91.5
E92000001,England,nation,2021-07-08,18_24,5229280.0,821576.0,5617.0,2838900.0,41389.0,821576.0,5617.0,54.3,15.7,15.7
E92000001,England,nation,2021-07-08,25_29,4437652.0,868981.0,7389.0,2514231.0,14073.0,868981.0,7389.0,56.7,19.6,19.6
E92000001,England,nation,2021-07-08,30_34,4744796.0,1135266.0,13308.0,2914365.0,8263.0,1135266.0,13308.0,61.4,23.9,23.9
E92000001,England,nation,2021-07-08,35_39,4552381.0,1395989.0,27120.0,3044700.0,5667.0,1395989.0,27120.0,66.9,30.7,30.7
E92000001,England,nation,2021-07-08,40_44,4121288.0,2076867.0,38789.0,3061861.0,2836.0,2076867.0,38789.0,74.3,50.4,50.4
E92000001,England,nation,2021-07-08,45_49,3996824.0,2606263.0,30288.0,3218150.0,1842.0,2606263.0,30288.0,80.5,65.2,65.2
E92000001,England,nation,2021-07-08,50_54,4224084.0,3414056.0,3467.0,3615985.0,1096.0,3414056.0,3467.0,85.6,80.8,80.8
E92000001,England,nation,2021-07-08,55_59,4075817.0,3431011.0,2319.0,3595993.0,732.0,3431011.0,2319.0,88.2,84.2,84.2
E92000001,England,nation,2021-07-08,60_64,3449874.0,3000809.0,1337.0,3111636.0,419.0,3000809.0,1337.0,90.2,87.0,87.0
E92000001,England,nation,2021-07-08,65_69,2890250.0,2606877.0,694.0,2664344.0,276.0,2606877.0,694.0,92.2,90.2,90.2
E92000001,England,nation,2021-07-08,70_74,2872277.0,2671423.0,352.0,2711736.0,163.0,2671423.0,352.0,94.4,93.0,93.0
E92000001,England,nation,2021-07-08,75_79,2078271.0,1955508.0,243.0,1983088.0,68.0,1955508.0,243.0,95.4,94.1,94.1
E92000001,England,nation,2021-07-08,80_84,1438100.0,1346567.0,150.0,1373617.0,32.0,1346567.0,150.0,95.5,93.6,93.6
E92000001,England,nation,2021-07-08,85_89,869600.0,811747.0,95.0,830690.0,34.0,811747.0,95.0,95.5,93.3,93.3
E92000001,England,nation,2021-07-08,90+,487806.0,446069.0,74.0,458367.0,11.0,446069.0,74.0,94.0,91.4,91.4
E92000001,England,nation,2021-07-07,18_24,5229280.0,815959.0,4886.0,2797511.0,36069.0,815959.0,4886.0,53.5,15.6,15.6
E92000001,England,nation,2021-07-07,25_29,4437652.0,861592.0,6981.0,2500158.0,12711.0,861592.0,6981.0,56.3,19.4,19.4
E92000001,England,nation,2021-07-07,30_34,4744796.0,1121958.0,13042.0,2906102.0,7521.0,1121958.0,13042.0,61.2,23.6,23.6
E92000001,England,nation,2021-07-07,35_39,4552381.0,1368869.0,24511.0,3039033.0,4854.0,1368869.0,24511.0,66.8,30.1,30.1
E92000001,England,nation,2021-07-07,40_44,4121288.0,2038078.0,35144.0,3059025.0,2444.0,2038078.0,35144.0,74.2,49.5,49.5
E92000001,England,nation,2021-07-07,45_49,3996824.0,2575975.0,31395.0,3216308.0,1708.0,2575975.0,31395.0,80.5,64.5,64.5
E92000001,England,nation,2021-07-07,50_54,4224084.0,3410589.0,3266.0,3614889.0,928.0,3410589.0,3266.0,85.6,80.7,80.7
E92000001,England,nation,2021-07-07,55_59,4075817.0,3428692.0,2144.0,3595261.0,646.0,3428692.0,2144.0,88.2,84.1,84.1
