date,age,first_dose,second_dose
27/12/2020,under_80,261561,524439
27/12/2020,over_80,524439,0
03/01/2021,under_80,438075,654810
03/01/2021,over_80,654810,13567
10/01/2021,under_80,960699,1036605
10/01/2021,over_80,1036605,81228
17/01/2021,under_80,1871910,1685937
17/01/2021,over_80,1685937,104076
24/01/2021,under_80,3530752,2261407
24/01/2021,over_80,2261407,111442
31/01/2021,under_70,3020989,111062
31/01/2021,70-74,977963,3959
31/01/2021,75-79,1603023,7372
31/01/2021,under_80,5601975,122393
31/01/2021,over_80,2498160,335386
07/02/2021,under_70,4021093,119498
07/02/2021,70-74,2057357,4283
07/02/2021,75-79,1855622,7645
07/02/2021,under_80,7934072,131426
07/02/2021,over_80,2588999,337729
14/02/2021,under_70,5700276,133811
14/02/2021,70-74,2564466,4836
14/02/2021,75-79,1927943,8353
14/02/2021,under_80,10192685,147000
14/02/2021,over_80,2649791,340689
21/02/2021,under_65,5575259,145084
21/02/2021,65-69,2106677,8053
21/02/2021,under_70,7681936,153137
21/02/2021,70-74,2623884,5736
21/02/2021,75-79,1946973,9060
21/02/2021,under_80,12252793,167933
21/02/2021,over_80,2675253,342716
28/02/2021,under_65,"7,486,908","207,775"
28/02/2021,65-69,"2,387,908","11,920"
28/02/2021,under_70,"9,874,816","219,695"
28/02/2021,70-74,"2,650,929","8,111"
28/02/2021,75-79,"1,958,972","10,933"
28/02/2021,under_80,"14,484,717","238,739"
28/02/2021,over_80,"2,691,063","359,584"
07/03/2021,under_65,9146485,301045
07/03/2021,65-69,2494520,17368
07/03/2021,under_70,11641005,318413
07/03/2021,70-74,2666290,14014
07/03/2021,75-79,1965161,18521
07/03/2021,under_80,16272456,350948
07/03/2021,over_80,2689926,445614
14/03/2021,under_65,10767955,456574
14/03/2021,65-69,2550300,25631
14/03/2021,under_70,13318255,482205
14/03/2021,70-74,2675711,21746
14/03/2021,75-79,1970143,30243
14/03/2021,under_80,17964109,534194
14/03/2021,over_80,2696677,575939
21/03/2021,under_65,13771052,725685
21/03/2021,65-69,2591259,43149
21/03/2021,under_70,16362311,768834
21/03/2021,70-74,2682892,42436
21/03/2021,75-79,1973216,67579
21/03/2021,under_80,21018419,878849
21/03/2021,over_80,2696202,724054
28/03/2021,under_65,15933305,1284542
28/03/2021,65-69,2614515,92469
28/03/2021,under_70,18547820,1377011
28/03/2021,70-74,2689931,130992
28/03/2021,75-79,1977351,246816
28/03/2021,under_80,23215102,1754819
28/03/2021,over_80,2699920,1158736
04/04/2021,under_65,16589543,1786609
04/04/2021,65-69,2622510,145796
04/04/2021,under_70,19212053,1932405
04/04/2021,70-74,2693173,270363
04/04/2021,75-79,1979374,513338
04/04/2021,under_80,23884600,2716106
04/04/2021,over_80,2701159,1658535
11/04/2021,under_65,16931654,2423784
11/04/2021,65-69,2628460,263270
11/04/2021,under_70,19560114,2687054
11/04/2021,70-74,2696966,621388
11/04/2021,75-79,1981985,1007773
11/04/2021,under_80,24239065,4316215
11/04/2021,over_80,2701895,2127543
18/04/2021,under_65,17498770,3146710
18/04/2021,65-69,2632563,482653
18/04/2021,under_70,20131333,3629363
18/04/2021,70-74,2700189,1186613
18/04/2021,75-79,1983864,1519269
18/04/2021,under_80,24815386,6335245
18/04/2021,over_80,2700543,2361774
25/04/2021,under_65,18129554,3915469
25/04/2021,65-69,2636969,865333
25/04/2021,under_70,20766523,4780802
25/04/2021,70-74,2703498,1967216
25/04/2021,75-79,1985015,1782137
25/04/2021,under_80,25455036,8530155
25/04/2021,over_80,2698440,2471181
02/05/2021,under_65,18732155,4729514
02/05/2021,65-69,2640825,1413456
02/05/2021,under_70,21372980,6142970
02/05/2021,70-74,2705504,2407181
02/05/2021,75-79,1985387,1866381
02/05/2021,under_80,26063871,10416532
02/05/2021,over_80,2695893,2525517
09/05/2021,under_65,19413250,6021599
09/05/2021,65-69,2644562,1972135
09/05/2021,under_70,22057812,7993734
09/05/2021,70-74,2706750,2553109
09/05/2021,75-79,1985589,1902555
09/05/2021,under_80,26750151,12449398
09/05/2021,over_80,2693034,2557578
16/05/2021,under_65,20403333,7723582
16/05/2021,65-69,2648435,2307943
16/05/2021,under_70,23051768,10031525
16/05/2021,70-74,2708078,2602003
16/05/2021,75-79,1985650,1922664
16/05/2021,under_80,27745496,14556192
16/05/2021,over_80,2690068,2579357
23/05/2021,under_65,21591131,9782220
23/05/2021,65-69,2652038,2448956
23/05/2021,under_70,24243169,12231176
23/05/2021,70-74,2709222,2627384
23/05/2021,75-79,1985813,1934203
23/05/2021,under_80,28938204,16792763
23/05/2021,over_80,2686929,2591882
30/05/2021,under_65,22720997,11909801
30/05/2021,65-69,2655653,2515675
30/05/2021,under_70,25376650,14425476
30/05/2021,70-74,2710237,2642764
30/05/2021,75-79,1985751,1941664
30/05/2021,under_80,30072638,19009904
30/05/2021,over_80,2683700,2599357
